id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
dYlBcBLp3KY5Tc78d8k0ow,brick-n-mortar-kitchen-and-catering-heidelberg-2,Brick N' Mortar Kitchen & Catering,https://s3-media2.fl.yelpcdn.com/bphoto/iV5ccgLkKp12IajQUvikiw/o.jpg,False,https://www.yelp.com/biz/brick-n-mortar-kitchen-and-catering-heidelberg-2?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,171,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,['delivery'],$$,+14122760727,(412) 276-0727,2772.458380648701,40.3915327,-80.0876455,1709 E Railroad St,,,Heidelberg,15106,US,PA,"['1709 E Railroad St', 'Heidelberg, PA 15106']"
jhGbILmSQ2TQvpJWug49Ew,carnegie-coffee-company-carnegie,Carnegie Coffee Company,https://s3-media2.fl.yelpcdn.com/bphoto/xltDkTt7wf9hUSrupuWsuw/o.jpg,False,https://www.yelp.com/biz/carnegie-coffee-company-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,195,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,['delivery'],$,+17245186524,(724) 518-6524,2337.5966377909704,40.407761,-80.086108,132 E Main St,,,Carnegie,15106,US,PA,"['132 E Main St', 'Carnegie, PA 15106']"
eMIX3ldCrPJymVenND0sDg,one-thirty-one-east-carnegie,One Thirty One East,https://s3-media3.fl.yelpcdn.com/bphoto/GRXgzKtHYRZnI9ubQ2obEQ/o.jpg,False,https://www.yelp.com/biz/one-thirty-one-east-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,191,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,['delivery'],$$,+14122761205,(412) 276-1205,2332.8106906155754,40.40801,-80.08615,131 E Main St,,,Carnegie,15106,US,PA,"['131 E Main St', 'Carnegie, PA 15106']"
dP8_X1zpSo3rGarHMyzQ1A,leogreta-carnegie,LeoGreta,https://s3-media1.fl.yelpcdn.com/bphoto/IGU5VtRUT45wBMQP5ZhRmQ/o.jpg,False,https://www.yelp.com/biz/leogreta-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,167,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,['delivery'],$$,+14124896382,(412) 489-6382,1914.8943234550643,40.40432440853976,-80.0912704,301 W Main St,,,Carnegie,15106,US,PA,"['301 W Main St', 'Carnegie, PA 15106']"
alfg8YykqggAUbeyd2nzmw,insurrection-aleworks-heidelberg,Insurrection AleWorks,https://s3-media2.fl.yelpcdn.com/bphoto/rYSQoYF5J-9Bf1bg317dnQ/o.jpg,False,https://www.yelp.com/biz/insurrection-aleworks-heidelberg?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,145,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,['delivery'],$$,+14122762030,(412) 276-2030,2724.075469228423,40.3924522399902,-80.08740234375,1635 E Railroad St,,,Heidelberg,15106,US,PA,"['1635 E Railroad St', 'Heidelberg, PA 15106']"
rqLksDzegxNXMWwZk3eZnQ,cafe-delhi-carnegie,Cafe Delhi,https://s3-media2.fl.yelpcdn.com/bphoto/1XSbSM7fB0oBjlpYN18-Sw/o.jpg,False,https://www.yelp.com/biz/cafe-delhi-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,198,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,['pickup'],$$,+14122785058,(412) 278-5058,2236.8498260784413,40.4080431671241,-80.0873225927353,205 Mary St,,,Carnegie,15106,US,PA,"['205 Mary St', 'Carnegie, PA 15106']"
Ladt7CobMcCFZ8-iC5v0cw,gab-and-eat-carnegie,Gab & Eat,https://s3-media1.fl.yelpcdn.com/bphoto/Q4jX4Uqp3sctEFHNHthBCQ/o.jpg,False,https://www.yelp.com/biz/gab-and-eat-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,127,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,['delivery'],$,+14122768808,(412) 276-8808,2776.5819989855067,40.39776,-80.08306,1073 Washington Ave,,,Carnegie,15106,US,PA,"['1073 Washington Ave', 'Carnegie, PA 15106']"
JePAAhbOLBDI74VeePOBKw,slice-on-broadway-carnegie,Slice On Broadway,https://s3-media3.fl.yelpcdn.com/bphoto/fxcW6wo_omsEqh8PJR4Ryw/o.jpg,False,https://www.yelp.com/biz/slice-on-broadway-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,111,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"['delivery', 'pickup']",$,+14122760200,(412) 276-0200,2301.5344932563266,40.4074789625738,-80.0865172594786,108 E Main St,,,Carnegie,15106,US,PA,"['108 E Main St', 'Carnegie, PA 15106']"
uNzg9P7p-7QBNp47U4koEg,alexions-bar-and-grill-carnegie,Alexion's Bar & Grill,https://s3-media1.fl.yelpcdn.com/bphoto/TD9vqcY8VNy2K0Ou9Sz7gg/o.jpg,False,https://www.yelp.com/biz/alexions-bar-and-grill-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,101,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,['delivery'],$,+14122762018,(412) 276-2018,4024.950485817901,40.41549,-80.06755,141 Hawthorne St,,,Carnegie,15106,US,PA,"['141 Hawthorne St', 'Carnegie, PA 15106']"
Blw30ULdFKSOgCmf9lfGLg,sunset-pizza-and-grille-carnegie,Sunset Pizza & Grille,https://s3-media2.fl.yelpcdn.com/bphoto/-ofDn71kN3Q-3uUtvuvC2Q/o.jpg,False,https://www.yelp.com/biz/sunset-pizza-and-grille-carnegie?adjust_creative=lXIxM4eMX3VfaB9_R9OWLQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lXIxM4eMX3VfaB9_R9OWLQ,47,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"['delivery', 'pickup']",$$,+14122763103,(412) 276-3103,2277.8044739158213,40.40717,-80.08671,38 E Main,,,Carnegie,15106,US,PA,"['38 E Main', 'Carnegie, PA 15106']"
